2018-11-15 16:38:57,640: Set steamid: 'BeelzeWowow'
2018-11-15 16:38:58,445: 'BeelzeWowow' already authorized on steam
2018-11-15 17:00:58,366: Set steamid: 'BeelzeWowow'
2018-11-15 17:00:59,165: 'BeelzeWowow' already authorized on steam
2018-11-15 17:22:59,531: Set steamid: 'BeelzeWowow'
2018-11-15 17:23:00,317: 'BeelzeWowow' already authorized on steam
2018-11-15 17:29:25,795: Set steamid: 'BeelzeWowow'

может прописать условие что бы блочилась такая активность?
см.ниже

2018-11-15 17:29:30,466: Success login on 'BeelzeWowow'.
2018-11-15 17:29:31,022: Set steamid: 'BeelzeWowow'
2018-11-15 17:29:36,143: Success login on 'BeelzeWowow'.
2018-11-15 17:29:36,623: Set steamid: 'BeelzeWowow'
2018-11-15 17:29:41,887: Success login on 'BeelzeWowow'.
2018-11-15 17:29:42,343: Set steamid: 'BeelzeWowow'
2018-11-15 17:29:47,735: Success login on 'BeelzeWowow'.
2018-11-15 17:29:48,218: Set steamid: 'BeelzeWowow'
2018-11-15 17:29:53,293: Success login on 'BeelzeWowow'.
2018-11-15 17:29:53,924: Set steamid: 'BeelzeWowow'
2018-11-15 17:29:59,223: Success login on 'BeelzeWowow'.
2018-11-15 17:29:59,698: Set steamid: 'BeelzeWowow'
2018-11-15 17:30:04,826: Success login on 'BeelzeWowow'.
2018-11-15 17:30:05,347: Set steamid: 'BeelzeWowow'
2018-11-15 17:30:10,622: Success login on 'BeelzeWowow'.
2018-11-15 17:30:11,110: Set steamid: 'BeelzeWowow'
2018-11-15 17:30:16,199: Success login on 'BeelzeWowow'.
2018-11-15 17:30:16,690: Set steamid: 'BeelzeWowow'
2018-11-15 17:30:21,728: Success login on 'BeelzeWowow'.
2018-11-15 17:30:22,212: Set steamid: 'BeelzeWowow'
2018-11-15 17:30:27,315: Success login on 'BeelzeWowow'.
2018-11-15 17:30:27,790: Set steamid: 'BeelzeWowow'
2018-11-15 17:30:32,696: Success login on 'BeelzeWowow'.
2018-11-15 17:30:33,169: Set steamid: 'BeelzeWowow'
2018-11-15 17:30:38,062: Success login on 'BeelzeWowow'.
2018-11-15 17:30:38,528: Set steamid: 'BeelzeWowow' 
2018-11-15 17:30:43,761: Success login on 'BeelzeWowow'.
2018-11-15 17:30:44,226: Set steamid: 'BeelzeWowow'

--------------------------------------------------------


2018-11-15 17:31:18,832: Failed authorisation steamid=BeelzeWowow. Long wait.
2018-11-15 17:31:19,310: Set steamid: 'BeelzeWowow'
2018-11-15 17:31:51,818: Failed authorisation steamid=BeelzeWowow. Long wait.
2018-11-15 17:31:53,544: Set steamid: 'BeelzeWowow'
2018-11-15 17:32:25,685: Failed authorisation steamid=BeelzeWowow. Long wait.
2018-11-15 17:32:26,172: Set steamid: 'BeelzeWowow'
2018-11-15 17:32:58,255: Failed authorisation steamid=BeelzeWowow. Long wait.
2018-11-15 17:32:58,717: Set steamid: 'BeelzeWowow'
2018-11-15 17:33:30,923: Failed authorisation steamid=BeelzeWowow. Long wait.
2018-11-15 17:33:31,391: Set steamid: 'BeelzeWowow'
2018-11-15 17:34:03,679: Failed authorisation steamid=BeelzeWowow. Long wait.
2018-11-15 17:39:24,860: Set steamid: 'BeelzeWowow'
2018-11-15 17:39:56,923: Failed authorisation steamid=BeelzeWowow. Long wait.
2018-11-15 17:39:57,401: Set steamid: 'BeelzeWowow'
2018-11-15 17:40:29,591: Failed authorisation steamid=BeelzeWowow. Long wait.
2018-11-15 17:40:30,055: Set steamid: 'BeelzeWowow'
2018-11-15 17:41:02,155: Failed authorisation steamid=BeelzeWowow. Long wait.
2018-11-15 17:41:02,641: Set steamid: 'BeelzeWowow'
2018-11-15 17:41:34,707: Failed authorisation steamid=BeelzeWowow. Long wait.
2018-11-15 17:41:35,175: Set steamid: 'BeelzeWowow'
2018-11-15 17:42:07,275: Failed authorisation steamid=BeelzeWowow. Long wait.
2018-11-15 17:42:07,743: Set steamid: 'BeelzeWowow'
2018-11-15 17:42:39,931: Failed authorisation steamid=BeelzeWowow. Long wait.
2018-11-15 17:42:40,411: Set steamid: 'BeelzeWowow'
2018-11-15 17:43:12,615: Failed authorisation steamid=BeelzeWowow. Long wait.
2018-11-15 17:43:13,111: Set steamid: 'BeelzeWowow'
2018-11-15 17:43:45,457: Failed authorisation steamid=BeelzeWowow. Long wait.
2018-11-15 17:43:45,917: Set steamid: 'BeelzeWowow'
2018-11-15 17:44:17,991: Failed authorisation steamid=BeelzeWowow. Long wait.
2018-11-15 17:44:18,474: Set steamid: 'BeelzeWowow'
2018-11-15 17:44:50,531: Failed authorisation steamid=BeelzeWowow. Long wait.
2018-11-15 17:44:51,936: Set steamid: 'BeelzeWowow'
2018-11-15 17:45:24,219: Failed authorisation steamid=BeelzeWowow. Long wait.
2018-11-15 17:45:24,713: Set steamid: 'BeelzeWowow'
2018-11-15 17:45:56,964: Failed authorisation steamid=BeelzeWowow. Long wait.
2018-11-15 17:46:01,241: Set steamid: 'BeelzeWowow'
2018-11-15 17:46:33,362: Failed authorisation steamid=BeelzeWowow. Long wait.
2018-11-15 17:46:36,022: Set steamid: 'BeelzeWowow'
2018-11-15 17:47:08,148: Failed authorisation steamid=BeelzeWowow. Long wait.
2018-11-15 17:47:08,610: Set steamid: 'BeelzeWowow'
2018-11-15 17:47:40,991: Failed authorisation steamid=BeelzeWowow. Long wait.
2018-11-15 17:47:42,536: Set steamid: 'BeelzeWowow'
2018-11-15 17:48:14,904: Failed authorisation steamid=BeelzeWowow. Long wait.
2018-11-15 17:54:26,358: Set steamid: 'BeelzeWowow'
2018-11-15 17:54:58,424: Failed authorisation steamid=BeelzeWowow. Long wait.
2018-11-15 17:54:58,862: Set steamid: 'BeelzeWowow'
2018-11-15 17:55:31,142: Failed authorisation steamid=BeelzeWowow. Long wait.
2018-11-15 17:55:31,616: Set steamid: 'BeelzeWowow'
2018-11-15 17:56:03,687: Failed authorisation steamid=BeelzeWowow. Long wait.
2018-11-15 17:56:04,732: Set steamid: 'BeelzeWowow'
2018-11-15 17:56:36,879: Failed authorisation steamid=BeelzeWowow. Long wait.
2018-11-15 17:56:37,366: Set steamid: 'BeelzeWowow'
2018-11-15 17:57:09,640: Failed authorisation steamid=BeelzeWowow. Long wait.
2018-11-15 17:57:10,102: Set steamid: 'BeelzeWowow'
2018-11-15 17:57:42,373: Failed authorisation steamid=BeelzeWowow. Long wait.
2018-11-15 17:57:44,223: Set steamid: 'BeelzeWowow'
2018-11-15 17:58:16,535: Failed authorisation steamid=BeelzeWowow. Long wait.
2018-11-15 17:58:17,024: Set steamid: 'BeelzeWowow'
2018-11-15 17:58:49,278: Failed authorisation steamid=BeelzeWowow. Long wait.
2018-11-15 17:58:49,753: Set steamid: 'BeelzeWowow'
2018-11-15 17:59:21,991: Failed authorisation steamid=BeelzeWowow. Long wait.
2018-11-15 17:59:22,532: Set steamid: 'BeelzeWowow'
2018-11-15 17:59:54,819: Failed authorisation steamid=BeelzeWowow. Long wait.
2018-11-15 17:59:55,318: Set steamid: 'BeelzeWowow'
2018-11-15 18:00:27,627: Failed authorisation steamid=BeelzeWowow. Long wait.
2018-11-15 18:00:28,092: Set steamid: 'BeelzeWowow'
2018-11-15 18:01:00,220: Failed authorisation steamid=BeelzeWowow. Long wait.
2018-11-15 18:01:00,715: Set steamid: 'BeelzeWowow'
2018-11-15 18:01:34,007: Failed authorisation steamid=BeelzeWowow. Long wait.
2018-11-15 18:01:34,504: Set steamid: 'BeelzeWowow'
2018-11-15 18:02:06,931: Failed authorisation steamid=BeelzeWowow. Long wait.
2018-11-15 18:02:08,757: Set steamid: 'BeelzeWowow'
2018-11-15 18:02:40,951: Failed authorisation steamid=BeelzeWowow. Long wait.
2018-11-15 18:02:41,415: Set steamid: 'BeelzeWowow'
2018-11-15 18:03:14,513: Failed authorisation steamid=BeelzeWowow. Long wait.
2018-11-15 18:03:15,015: Set steamid: 'BeelzeWowow'
2018-11-15 18:03:47,279: Failed authorisation steamid=BeelzeWowow. Long wait.
2018-11-15 18:03:47,830: Set steamid: 'BeelzeWowow'
2018-11-15 18:04:19,965: Failed authorisation steamid=BeelzeWowow. Long wait.
2018-11-15 18:04:20,442: Set steamid: 'BeelzeWowow'
2018-11-15 18:04:52,619: Failed authorisation steamid=BeelzeWowow. Long wait.
2018-11-15 18:06:46,647: Set steamid: 'BeelzeWowow'
2018-11-15 18:07:18,757: Failed authorisation steamid=BeelzeWowow. Long wait.
2018-11-15 18:07:19,473: Set steamid: 'BeelzeWowow'
2018-11-15 18:07:51,575: Failed authorisation steamid=BeelzeWowow. Long wait.
2018-11-15 18:07:52,186: Set steamid: 'BeelzeWowow'
2018-11-15 18:08:24,329: Failed authorisation steamid=BeelzeWowow. Long wait.
2018-11-15 18:08:24,799: Set steamid: 'BeelzeWowow'
2018-11-15 18:08:56,823: Failed authorisation steamid=BeelzeWowow. Long wait.
2018-11-15 18:08:57,381: Set steamid: 'BeelzeWowow'
2018-11-15 18:09:29,495: Failed authorisation steamid=BeelzeWowow. Long wait.
2018-11-15 18:09:29,973: Set steamid: 'BeelzeWowow'
2018-11-15 18:10:02,131: Failed authorisation steamid=BeelzeWowow. Long wait.
2018-11-15 18:10:02,606: Set steamid: 'BeelzeWowow'
2018-11-15 18:10:34,851: Failed authorisation steamid=BeelzeWowow. Long wait.
